label,study,rx_type,clinical_scene,condition,rx_x_mm,rx_depth_mm,rx_pair_gap_mm,rx_pad_x_mm,rx_pad_y_mm,rx_pad_z_mm,skin_material_key,rx_lift_mm,fibrosis_shell_mm,contact_layer_mm,stress_mechanism,frequencies_MHz,note
t_surf_rest,A_main_library,surface,Dry chest-wall skin with ECG-style patch electrode,surface_rest,50.0,0.0,4.0,6.0,3.0,0.2,skin_rest,0.0,0.0,0.0,,1.0;10.0;13.56;21.0;40.0,Normalization baseline for scheduler coefficients
t_surf_sweat,A_main_library,surface,Exercise sweat on chest-wall skin,surface_sweat,50.0,0.0,4.0,6.0,3.0,0.2,skin_sweat,0.0,0.0,0.0,,13.56;40.0,Skin conductivity raised to 1.10 S/m
t_surf_loose,A_main_library,surface,Aged ECG patch adhesive; dried hydrogel creates resistive contact interface,surface_loose,50.0,0.0,4.0,6.0,3.0,0.2,skin_rest,0.0,0.0,0.3,degraded_contact_interface,13.56;40.0,"0.3 mm degraded-contact layer (sigma=0.30 S/m, eps_r=60) replaces air-gap model; air gaps break galvanic coupling catastrophically at 13.56 MHz"
t_surf_fail,A_main_library,surface,ECG patch contact failure with full local air gap,surface_contact_failure,50.0,0.0,4.0,6.0,3.0,0.2,skin_rest,0.5,0.0,0.0,full_air_gap,13.56;40.0,Compatibility state for scheduler surface_contact_failure; excluded from main-condition library rows
t_imp10_rest,A_main_library,implant,Subcutaneous neurostimulator or IPG,implant10_rest,50.0,10.0,4.0,4.0,2.0,1.0,skin_rest,0.0,0.0,0.0,,1.0;10.0;13.56;21.0;40.0,
t_imp10_stress,A_main_library,implant,Subcutaneous implant with chronic fibrotic encapsulation,implant10_stress,50.0,10.0,4.0,4.0,2.0,1.0,skin_rest,0.0,1.0,0.0,fibrotic_encapsulation,13.56;40.0,
t_imp30_rest,A_main_library,implant,Deeper chest/pericardial-near implanted device,implant30_rest,50.0,30.0,4.0,4.0,2.0,1.0,skin_rest,0.0,0.0,0.0,,13.56;40.0,
t_imp30_stress,A_main_library,implant,Deeper implanted device with chronic fibrotic encapsulation,implant30_stress,50.0,30.0,4.0,4.0,2.0,1.0,skin_rest,0.0,1.0,0.0,fibrotic_encapsulation,1.0;10.0;13.56;21.0;40.0,
t_scan_x030,C_distance_scan,surface,Chest-wall surface path-loss scan at x=30 mm,surface_rest_distance_scan,30.0,0.0,4.0,6.0,3.0,0.2,skin_rest,0.0,0.0,0.0,,13.56;40.0,Physical anchor for surface distance scaling
t_scan_x050,C_distance_scan,surface,Chest-wall surface path-loss scan at x=50 mm,surface_rest_distance_scan,50.0,0.0,4.0,6.0,3.0,0.2,skin_rest,0.0,0.0,0.0,,13.56;40.0,Physical anchor for surface distance scaling
t_scan_x070,C_distance_scan,surface,Chest-wall surface path-loss scan at x=70 mm,surface_rest_distance_scan,70.0,0.0,4.0,6.0,3.0,0.2,skin_rest,0.0,0.0,0.0,,13.56;40.0,Physical anchor for surface distance scaling
t_scan_x110,C_distance_scan,surface,Chest-wall surface path-loss scan at x=110 mm,surface_rest_distance_scan,110.0,0.0,4.0,6.0,3.0,0.2,skin_rest,0.0,0.0,0.0,,13.56;40.0,Physical anchor for surface distance scaling
t_scan_x150,C_distance_scan,surface,Chest-wall surface path-loss scan at x=150 mm,surface_rest_distance_scan,150.0,0.0,4.0,6.0,3.0,0.2,skin_rest,0.0,0.0,0.0,,13.56;40.0,Physical anchor for surface distance scaling
t_scan_x200,C_distance_scan,surface,Chest-wall surface path-loss scan at x=200 mm,surface_rest_distance_scan,200.0,0.0,4.0,6.0,3.0,0.2,skin_rest,0.0,0.0,0.0,,13.56;40.0,Physical anchor for surface distance scaling
t_depth_d010,D_depth_scan,implant,Implant-depth efficiency scan at d=10 mm,implant_depth_scan,50.0,10.0,4.0,4.0,2.0,1.0,skin_rest,0.0,0.0,0.0,,13.56;40.0,Depth anchor for zeta_i and implant feasibility range
t_depth_d020,D_depth_scan,implant,Implant-depth efficiency scan at d=20 mm,implant_depth_scan,50.0,20.0,4.0,4.0,2.0,1.0,skin_rest,0.0,0.0,0.0,,13.56;40.0,Depth anchor for zeta_i and implant feasibility range
t_depth_d030,D_depth_scan,implant,Implant-depth efficiency scan at d=30 mm,implant_depth_scan,50.0,30.0,4.0,4.0,2.0,1.0,skin_rest,0.0,0.0,0.0,,13.56;40.0,Depth anchor for zeta_i and implant feasibility range
t_depth_d040,D_depth_scan,implant,Implant-depth efficiency scan at d=40 mm,implant_depth_scan,50.0,40.0,4.0,4.0,2.0,1.0,skin_rest,0.0,0.0,0.0,,13.56;40.0,Depth anchor for zeta_i and implant feasibility range
t_depth_d050,D_depth_scan,implant,Implant-depth efficiency scan at d=50 mm,implant_depth_scan,50.0,50.0,4.0,4.0,2.0,1.0,skin_rest,0.0,0.0,0.0,,13.56;40.0,Depth anchor for zeta_i and implant feasibility range
t_depth_d070,D_depth_scan,implant,Implant-depth efficiency scan at d=70 mm,implant_depth_scan,50.0,70.0,4.0,4.0,2.0,1.0,skin_rest,0.0,0.0,0.0,,13.56;40.0,Depth anchor for zeta_i and implant feasibility range
t_depth_d100,D_depth_scan,implant,Implant-depth efficiency scan at d=100 mm,implant_depth_scan,50.0,100.0,4.0,4.0,2.0,1.0,skin_rest,0.0,0.0,0.0,,13.56;40.0,Depth anchor for zeta_i and implant feasibility range
